日期,赛事名称,角色,IP,CV,得票数,角色（英）,自动晋级,头像
07.12-07.19,恒星组提名-男性组别,渚薰,新世纪福音战士,石田彰,18,Nagisa Kaworu,False,
07.12-07.19,恒星组提名-男性组别,樱满集,罪恶王冠,梶裕贵,18,Ōma Shū,False,
07.12-07.19,恒星组提名-男性组别,炼狱杏寿郎,鬼灭之刃,日野聪,18,Rengoku Kyōjurō,False,
07.12-07.19,恒星组提名-男性组别,安艺伦也,路人女主的养成方法,松冈祯丞,18,Aki Tomoya,False,
07.12-07.19,恒星组提名-男性组别,内卷昴,这个美术社大有问题！,小林裕介,18,Uchimaki Subaru,False,
07.12-07.19,恒星组提名-男性组别,一条乐,伪恋,内山昂辉,17,Ichijō Raku,False,
07.12-07.19,恒星组提名-男性组别,枣恭介,Little Busters!,绿川光,17,Natsume Kyōsuke,False,
07.12-07.19,恒星组提名-男性组别,伊藤诚,School Days,平川大辅,17,Itō Makoto,False,
07.12-07.19,恒星组提名-男性组别,国崎往人,AIR,,16,,False,
07.12-07.19,恒星组提名-男性组别,塔兹米,斩·赤红之瞳！,,16,,False,
07.12-07.19,恒星组提名-男性组别,海崎新太,ReLIFE,,16,,False,
07.12-07.19,恒星组提名-男性组别,平贺才人,零之使魔,,16,,False,
07.12-07.19,恒星组提名-男性组别,斑鸠夏生,ATRI -My Dear Moments-,,16,,False,
07.12-07.19,恒星组提名-男性组别,奥托·苏文,Re:从零开始的异世界生活,,16,,False,
07.12-07.19,恒星组提名-男性组别,春原阳平,CLANNAD,,15,,False,
07.12-07.19,恒星组提名-男性组别,土间大平,干物妹！小埋,,15,,False,
07.12-07.19,恒星组提名-男性组别,高坂京介,我的妹妹哪有这么可爱！,,15,,False,
07.12-07.19,恒星组提名-男性组别,广,Darling in the FranXX,,15,,False,
07.12-07.19,恒星组提名-男性组别,席德·卡盖诺,想要成为影之实力者！,,15,,False,
07.12-07.19,恒星组提名-男性组别,久世政近,不时轻声地以俄语遮羞的邻座艾莉同学,,15,,False,
07.12-07.19,恒星组提名-男性组别,苗木诚,弹丸论破,,14,,False,
07.12-07.19,恒星组提名-男性组别,日向翔阳,排球少年！！,,14,,False,
07.12-07.19,恒星组提名-男性组别,柚木普,地缚少年花子君,,14,,False,
07.12-07.19,恒星组提名-男性组别,今村耕平,碧蓝之海,,14,,False,
07.12-07.19,恒星组提名-男性组别,早川秋,电锯人,,14,,False,
07.12-07.19,恒星组提名-男性组别,贝吉塔,龙珠,,13,,False,
07.12-07.19,恒星组提名-男性组别,成步堂龙一,逆转裁判系列,,13,,False,
07.12-07.19,恒星组提名-男性组别,吉良吉影,JoJo的奇妙冒险,,13,,False,
07.12-07.19,恒星组提名-男性组别,影山茂夫,路人超能100,,13,,False,
07.12-07.19,恒星组提名-男性组别,冢本秀一,吹响！上低音号,,13,,False,
07.12-07.19,恒星组提名-男性组别,野原新之助,蜡笔小新,,13,,False,
07.12-07.19,恒星组提名-男性组别,只野仁人,古见同学有交流障碍症,,13,,False,
07.12-07.19,恒星组提名-男性组别,夜守光,彻夜之歌,,13,,False,
07.12-07.19,恒星组提名-男性组别,老师,蔚蓝档案,,13,,False,
07.12-07.19,恒星组提名-男性组别,绫崎飒,旋风管家！,,12,,False,
07.12-07.19,恒星组提名-男性组别,夏尔·凡多姆海恩,黑执事,,12,,False,
07.12-07.19,恒星组提名-男性组别,百夜米迦尔,终结的炽天使,,12,,False,
07.12-07.19,恒星组提名-男性组别,九头龙八一,龙王的工作！,,12,,False,
07.12-07.19,恒星组提名-男性组别,可儿江西也,甘城光辉游乐园,,11,,False,
07.12-07.19,恒星组提名-男性组别,狛枝凪斗,弹丸论破,,11,,False,
07.12-07.19,恒星组提名-男性组别,爱德华·艾尔利克,钢之炼金术师,,11,,False,
07.12-07.19,恒星组提名-男性组别,前原圭一,寒蝉鸣泣之时,,11,,False,
07.12-07.19,恒星组提名-男性组别,犬夜叉,犬夜叉,,11,,False,
07.12-07.19,恒星组提名-男性组别,菲利克斯·阿盖尔,Re:从零开始的异世界生活,,11,,False,
07.12-07.19,恒星组提名-男性组别,天王寺瑚太朗,Rewrite,,11,,False,
07.12-07.19,恒星组提名-男性组别,坂本,在下坂本，有何贵干？,,11,,False,
07.12-07.19,恒星组提名-男性组别,武藤游戏,游戏王系列,,11,,False,
07.12-07.19,恒星组提名-男性组别,江户川乱步,文豪野犬,,11,,False,
07.12-07.19,恒星组提名-男性组别,布鲁诺·布加拉提,JoJo的奇妙冒险,,11,,False,
07.12-07.19,恒星组提名-男性组别,坂本太郎,坂本日常,,11,,False,
07.12-07.19,恒星组提名-男性组别,宿海仁太,我们仍未知道那天所看见的花的名字。,,10,,False,
07.12-07.19,恒星组提名-男性组别,潮田渚,暗杀教室,,10,,False,
07.12-07.19,恒星组提名-男性组别,木之本桃矢,魔卡少女樱,,10,,False,
07.12-07.19,恒星组提名-男性组别,贝尔·克朗尼,在地下城寻求邂逅是否搞错了什么,,10,,False,
07.12-07.19,恒星组提名-男性组别,野崎梅太郎,月刊少女野崎君,,10,,False,
07.12-07.19,恒星组提名-男性组别,埼玉,一拳超人,,10,,False,
07.12-07.19,恒星组提名-男性组别,雨宫莲,女神异闻录5,,10,,False,
07.12-07.19,恒星组提名-男性组别,上杉风太郎,五等分的新娘,,10,,False,
07.12-07.19,恒星组提名-男性组别,野比大雄,哆啦A梦,,10,,False,
07.12-07.19,恒星组提名-男性组别,时透无一郎,鬼灭之刃,,10,,False,
07.12-07.19,恒星组提名-男性组别,岸边露伴,JoJo的奇妙冒险,,10,,False,
