日期,赛事名称,角色,IP,CV,得票数,角色（英）,自动晋级,头像
07.12-07.19,恒星组提名-女性组别,甘织遥奈,我们不可能成为恋人！绝对不行。 (※似乎可行？),,-,,True,
07.12-07.19,恒星组提名-女性组别,空门苍,Summer Pockets,,-,,True,
07.12-07.19,恒星组提名-女性组别,结束祈,金牌得主,,-,,True,
07.12-07.19,恒星组提名-女性组别,柊夕湖,弹珠汽水瓶里的千岁同学,,-,,True,
07.12-07.19,恒星组提名-女性组别,甘织玲奈子,我们不可能成为恋人！绝对不行。 (※似乎可行？),,-,,True,
07.12-07.19,恒星组提名-女性组别,蕾塞,电锯人,,-,,True,
07.12-07.19,恒星组提名-女性组别,若月妮可,魔女与使魔,,-,,True,
07.12-07.19,恒星组提名-女性组别,西宫硝子,声之形,早见沙织,-,Nishimiya Shōko,True,https://pic1.imgdb.cn/item/673abe15d29ded1a8c439492.png
07.12-07.19,恒星组提名-女性组别,康娜卡姆依,小林家的龙女仆,长绳麻理亚,-,Kanna Kamui,True,https://pic1.imgdb.cn/item/677fbec3d0e0a243d4f2c997.png
07.12-07.19,恒星组提名-女性组别,加藤惠,路人女主的养成方法,安野希世乃,-,,True,
07.12-07.19,恒星组提名-女性组别,间桐樱,Fate系列,下屋则子,-,Matō Sakura,True,
07.12-07.19,恒星组提名-女性组别,芙拉蒂蕾娜·米利杰,86 -不存在的战区-,长谷川育美,-,,True,https://pic1.imgdb.cn/item/67396158d29ded1a8c466c38.png
07.12-07.19,恒星组提名-女性组别,堀京子,堀与宫村,户松遥,-,Hori Kyōko,True,https://pic1.imgdb.cn/item/677fbcd5d0e0a243d4f2c905.png
07.12-07.19,恒星组提名-女性组别,鹿野千夏,青之箱,上田丽奈,-,Kano Chinatsu,True,
07.12-07.19,恒星组提名-女性组别,约尔·福杰,间谍过家家,早见沙织,-,Yor Forger,True,https://pic1.imgdb.cn/item/677fbeb6d0e0a243d4f2c994.png
07.12-07.19,恒星组提名-女性组别,夏目玲子,夏目友人帐,小林沙苗,-,Natsume Reiko,True,
07.12-07.19,恒星组提名-女性组别,蝶野雏,青之箱,鬼头明里,-,Chōno Hina,True,
07.12-07.19,恒星组提名-女性组别,玛利亚·米哈伊罗夫纳·九条,不时轻声地以俄语遮羞的邻座艾莉同学,藤井幸代,-,Maria Mikhailovna Kujō,True,
07.12-07.19,恒星组提名-女性组别,黑川茜,【我推的孩子】,石见舞菜香,-,Kurokawa Akane,True,
07.12-07.19,恒星组提名-女性组别,七仓凛,疑似后宫,早见沙织,-,,True,
07.12-07.19,恒星组提名-女性组别,山田杏奈,我心里危险的东西,羊宫妃那,-,Yamada Anna,True,
07.12-07.19,恒星组提名-女性组别,烧盐柠檬,败犬女主太多了！,若山诗音,-,Yakishio Lemon,True,
07.12-07.19,恒星组提名-女性组别,白鸟爱罗,胆大党,佐仓绫音,-,Shiratori Aira,True,
07.12-07.19,恒星组提名-女性组别,赛丽艾,葬送的芙莉莲,伊濑茉莉也,-,,True,
07.12-07.19,恒星组提名-女性组别,斯嘉丽·艾尔·范迪米昂,最后可以再拜托您一件事吗？,,-,,True,
07.12-07.19,恒星组提名-女性组别,艾莉西亚·格伦费尔,克雷瓦提斯-魔兽之王与婴儿与尸之勇者-,,-,,True,
07.12-07.19,恒星组提名-女性组别,广濑夏子,全修。,,-,,True,
07.12-07.19,恒星组提名-女性组别,恩奇都,Fate系列,,-,,True,
07.12-07.19,恒星组提名-女性组别,绫濑星子,胆大党,,-,,True,
07.12-07.19,恒星组提名-女性组别,紫云寺讴华,紫云寺家的兄弟姐妹,,-,,True,
07.12-07.19,恒星组提名-女性组别,山田凉,孤独摇滚！,水野朔,244,Yamada Ryō,False,https://pic1.imgdb.cn/item/67396860d29ded1a8c4b2e6b.png
07.12-07.19,恒星组提名-女性组别,伊地知虹夏,孤独摇滚！,铃代纱弓,222,Ijichi Nijika,False,https://pic1.imgdb.cn/item/673abde9d29ded1a8c437a20.png
07.12-07.19,恒星组提名-女性组别,喜多郁代,孤独摇滚！,长谷川育美,209,Kita Ikuyo,False,https://pic1.imgdb.cn/item/6739682ad29ded1a8c4b0962.png
07.12-07.19,恒星组提名-女性组别,平泽唯,轻音少女,丰崎爱生,187,Hirasawa Yui,False,https://pic1.imgdb.cn/item/67395e01d29ded1a8c43d7cf.png
07.12-07.19,恒星组提名-女性组别,千反田爱瑠,冰菓,佐藤聪美,165,Chitanda Eru,False,https://pic1.imgdb.cn/item/678b5cd0d0e0a243d4f5699f.png
07.12-07.19,恒星组提名-女性组别,雷姆,Re:从零开始的异世界生活,水濑祈,161,,False,
07.12-07.19,恒星组提名-女性组别,洛琪希·米格路迪亚,无职转生,小原好美,134,Roxy Migurdia,False,https://pic1.imgdb.cn/item/673be698d29ded1a8c2b0709.png
07.12-07.19,恒星组提名-女性组别,秋山澪,轻音少女,日笠阳子,130,Akiyama Mio,False,https://pic1.imgdb.cn/item/673967f2d29ded1a8c4ae5a2.png
07.12-07.19,恒星组提名-女性组别,中野梓,轻音少女,竹达彩奈,124,Nakano Azusa,False,https://pic1.imgdb.cn/item/67395e7cd29ded1a8c443a4c.png
07.12-07.19,恒星组提名-女性组别,一色伊吕波,我的青春恋爱物语果然有问题。,佐仓绫音,124,Isshiki Iroha,False,https://pic1.imgdb.cn/item/6741390dd29ded1a8c822b9c.png
07.12-07.19,恒星组提名-女性组别,休比·多拉,NO GAME NO LIFE 游戏人生,茅野爱衣,120,Schwi Dola,False,https://pic1.imgdb.cn/item/677fbc71d0e0a243d4f2c8d3.png
07.12-07.19,恒星组提名-女性组别,宫水三叶,你的名字。,上白石萌音,118,Miyamizu Mitsuha,False,https://pic1.imgdb.cn/item/67395e68d29ded1a8c4429ed.png
07.12-07.19,恒星组提名-女性组别,琴吹䌷,轻音少女,寿美菜子,107,Kotobuki Tsumugi,False,https://pic1.imgdb.cn/item/6739b369d29ded1a8c895375.png
07.12-07.19,恒星组提名-女性组别,中野三玖,五等分的新娘,伊藤美来,105,Nakano Miku,False,https://pic1.imgdb.cn/item/6739613ed29ded1a8c465c2c.png
07.12-07.19,恒星组提名-女性组别,田井中律,轻音少女,佐藤聪美,97,Tainaka Ritsu,False,https://pic1.imgdb.cn/item/673b3c52d29ded1a8cb70e5b.png
07.12-07.19,恒星组提名-女性组别,伊原摩耶花,冰菓,茅野爱衣,94,Ibara Mayaka,False,
07.12-07.19,恒星组提名-女性组别,古河渚,CLANNAD,中原麻衣,89,Furukawa Nagisa,False,https://pic1.imgdb.cn/item/67419468d29ded1a8cddcff0.png
07.12-07.19,恒星组提名-女性组别,绫濑沙季,义妹生活,中岛由贵,88,Ayase Saki,False,
07.12-07.19,恒星组提名-女性组别,泉此方,幸运☆星,平野绫,86,Izumi Konata,False,https://pic1.imgdb.cn/item/674138ded29ded1a8c82004e.png
07.12-07.19,恒星组提名-女性组别,艾莉丝·伯雷亚斯·格雷拉特,无职转生,加隈亚衣,84,,False,https://pic1.imgdb.cn/item/67413890d29ded1a8c81b570.png
07.12-07.19,恒星组提名-女性组别,希露菲叶特·格雷拉特,无职转生,茅野爱衣,83,,False,
07.12-07.19,恒星组提名-女性组别,丹生谷森夏,中二病也要谈恋爱！,赤崎千夏,82,,False,https://pic1.imgdb.cn/item/69f2d8ebf97149b1cf360ad4.png
07.12-07.19,恒星组提名-女性组别,中野二乃,五等分的新娘,竹达彩奈,82,Nakano Nino,False,https://pic1.imgdb.cn/item/6744343188c538a9b5bb9e21.png
07.12-07.19,恒星组提名-女性组别,平泽忧,轻音少女,米泽圆,81,Hirasawa Ui,False,https://pic1.imgdb.cn/item/69f329eef97149b1cf36fe1b.png
07.12-07.19,恒星组提名-女性组别,梓川枫,青春猪头少年系列,久保由利香,79,,False,https://pic1.imgdb.cn/item/6785d8b2d0e0a243d4f411e0.png
07.12-07.19,恒星组提名-女性组别,凸守早苗,中二病也要谈恋爱！,上坂堇,78,,False,https://pic1.imgdb.cn/item/69f2d93af97149b1cf360b0d.png
07.12-07.19,恒星组提名-女性组别,高町奈叶,魔法少女奈叶,,76,,False,
07.12-07.19,恒星组提名-女性组别,北白川玉子,玉子市场,洲崎绫,75,Kitashirakawa Tamako,False,https://pic1.imgdb.cn/item/67396817d29ded1a8c4afe96.png
07.12-07.19,恒星组提名-女性组别,中野五月,五等分的新娘,水濑祈,75,Nakano Itsuki,False,https://pic1.imgdb.cn/item/677fbcc8d0e0a243d4f2c900.png
07.12-07.19,恒星组提名-女性组别,椎名真白,樱花庄的宠物女孩,茅野爱衣,74,Shiina Mashiro,False,https://pic1.imgdb.cn/item/67396804d29ded1a8c4af1d3.png
07.12-07.19,恒星组提名-女性组别,七宫智音,中二病也要谈恋爱！,长妻树里,74,,False,https://pic1.imgdb.cn/item/69f2d810f97149b1cf360a2c.png
07.12-07.19,恒星组提名-女性组别,高木,擅长捉弄的高木同学,高桥李依,72,Takagi,False,https://pic1.imgdb.cn/item/67411d35d29ded1a8c6a5568.png
07.12-07.19,恒星组提名-女性组别,菲特·泰斯塔罗沙·哈洛温,魔法少女奈叶,水树奈奈,70,,False,
07.12-07.19,恒星组提名-女性组别,双叶理央,青春猪头少年系列,种崎敦美,68,,False,https://pic1.imgdb.cn/item/6785d958d0e0a243d4f41226.png
07.12-07.19,恒星组提名-女性组别,中野四叶,五等分的新娘,佐仓绫音,68,Nakano Yotsuba,False,
07.12-07.19,恒星组提名-女性组别,伊地知星歌,孤独摇滚！,内田真礼,67,Ijichi Seika,False,
07.12-07.19,恒星组提名-女性组别,春日野穹,缘之空,田口宏子,65,Kasugano Sora,False,https://pic1.imgdb.cn/item/673aa700d29ded1a8c30cdf0.png
07.12-07.19,恒星组提名-女性组别,由崎司,总之就是非常可爱,鬼头明里,65,Yuzaki Tsukasa,False,https://pic1.imgdb.cn/item/6741ad7bd29ded1a8cf60d88.png
07.12-07.19,恒星组提名-女性组别,椎名真昼,关于我在无意间被隔壁的天使变成废柴这件事,石见舞菜香,64,Shiina Mahiru,False,https://pic1.imgdb.cn/item/6785d8d6d0e0a243d4f411eb.png
07.12-07.19,恒星组提名-女性组别,芳冈由依,Angel Beats!,,63,,False,
07.12-07.19,恒星组提名-女性组别,八神疾风,魔法少女奈叶,,63,,False,
07.12-07.19,恒星组提名-女性组别,阿尔托莉雅·潘德拉贡,Fate系列,川澄绫子,61,Saber,False,https://pic1.imgdb.cn/item/6739c600d29ded1a8c978285.png
07.12-07.19,恒星组提名-女性组别,由比滨结衣,我的青春恋爱物语果然有问题。,东山奈央,61,Yuigahama Yui,False,https://pic1.imgdb.cn/item/673a94bdd29ded1a8c251eee.png
07.12-07.19,恒星组提名-女性组别,晓美焰,魔法少女小圆,斋藤千和,61,Akemi Homura,False,https://pic1.imgdb.cn/item/674086b0d29ded1a8c07b0d0.png
07.12-07.19,恒星组提名-女性组别,绪山真寻,别当欧尼酱了！,高野麻里佳,60,Oyama Mahiro,False,https://pic1.imgdb.cn/item/6785d8f9d0e0a243d4f411f4.png
07.12-07.19,恒星组提名-女性组别,保科昴,薰香花朵凛然绽放,,59,,False,
07.12-07.19,恒星组提名-女性组别,宫园薰,四月是你的谎言,种田梨沙,59,Miyazono Kaori,False,https://pic1.imgdb.cn/item/6742b49688c538a9b5bb432f.png
07.12-07.19,恒星组提名-女性组别,和泉纱雾,埃罗芒阿老师,藤田茜,57,Izumi Sagiri,False,https://pic1.imgdb.cn/item/6739684cd29ded1a8c4b1e5e.png
07.12-07.19,恒星组提名-女性组别,鹿目圆,魔法少女小圆,悠木碧,55,Kaname Madoka,False,https://pic1.imgdb.cn/item/6735f305d29ded1a8cade1ab.png
07.12-07.19,恒星组提名-女性组别,天野阳菜,天气之子,森七菜,54,Amano Hina,False,https://pic1.imgdb.cn/item/677fbca6d0e0a243d4f2c8f5.png
07.12-07.19,恒星组提名-女性组别,凉宫春日,凉宫春日的忧郁,平野绫,54,Suzumiya Haruhi,False,https://pic1.imgdb.cn/item/67418d25d29ded1a8cd84d64.png
07.12-07.19,恒星组提名-女性组别,河原木桃香,少女乐队的呐喊,夕莉,53,,False,
07.12-07.19,恒星组提名-女性组别,逢坂大河,龙与虎,钉宫理惠,53,Aisaka Taiga,False,https://pic1.imgdb.cn/item/6742aa2888c538a9b5bb4148.png
07.12-07.19,恒星组提名-女性组别,五河琴里,约会大作战,竹达彩奈,52,Itsuka Kotori,False,https://pic1.imgdb.cn/item/673be110d29ded1a8c2750be.png
07.12-07.19,恒星组提名-女性组别,东海帝王,赛马娘 Pretty Derby,Machico,49,Tokai Teio,False,https://pic1.imgdb.cn/item/67419ca3d29ded1a8ce4ecc8.png
07.12-07.19,恒星组提名-女性组别,牧濑红莉栖,命运石之门,今井麻美,48,Makise Kurisu,False,https://pic1.imgdb.cn/item/67395e28d29ded1a8c43f6d9.png
07.12-07.19,恒星组提名-女性组别,星野爱,【我推的孩子】,高桥李依,46,Hoshino Ai,False,https://pic1.imgdb.cn/item/6785d9aed0e0a243d4f41230.png
07.12-07.19,恒星组提名-女性组别,神尾观铃,AIR,,44,,False,
07.12-07.19,恒星组提名-女性组别,温水佳树,败犬女主太多了！,,44,,False,
07.12-07.19,恒星组提名-女性组别,木之本樱,魔卡少女樱,,43,,False,
07.12-07.19,恒星组提名-女性组别,马剃天爱星,败犬女主太多了！,,42,,False,
07.12-07.19,恒星组提名-女性组别,绫波丽,新世纪福音战士,,41,,False,
07.12-07.19,恒星组提名-女性组别,佐天泪子,魔法禁书目录,,41,,False,
07.12-07.19,恒星组提名-女性组别,户山香澄,BanG Dream!,,40,,False,
07.12-07.19,恒星组提名-女性组别,灰原哀,名侦探柯南,,40,,False,
07.12-07.19,恒星组提名-女性组别,井之上泷奈,莉可丽丝,,40,,False,
07.12-07.19,恒星组提名-女性组别,沙耶,魔女之旅,,39,,False,
07.12-07.19,恒星组提名-女性组别,长门有希,凉宫春日的忧郁,,38,,False,
07.12-07.19,恒星组提名-女性组别,夜刀神十香,约会大作战,,36,,False,
07.12-07.19,恒星组提名-女性组别,香风智乃,请问您今天要来点兔子吗？,,36,,False,
07.12-07.19,恒星组提名-女性组别,02,Darling in the FranXX,,36,,False,
07.12-07.19,恒星组提名-女性组别,有马加奈,【我推的孩子】,,36,,False,
07.12-07.19,恒星组提名-女性组别,久岛鸥,Summer Pockets,,35,,False,
07.12-07.19,恒星组提名-女性组别,星野瑠美衣,【我推的孩子】,,35,,False,
07.12-07.19,恒星组提名-女性组别,柊镜,幸运☆星,,34,,False,
07.12-07.19,恒星组提名-女性组别,志摩凛,摇曳露营△,,34,,False,
07.12-07.19,恒星组提名-女性组别,海老冢智,少女乐队的呐喊,,33,,False,
07.12-07.19,恒星组提名-女性组别,五更琉璃,我的妹妹哪有这么可爱！,,32,,False,
07.12-07.19,恒星组提名-女性组别,蝴蝶忍,鬼灭之刃,,32,,False,
07.12-07.19,恒星组提名-女性组别,小野寺小咲,伪恋,,31,,False,
07.12-07.19,恒星组提名-女性组别,夏娜,灼眼的夏娜,,31,,False,
07.12-07.19,恒星组提名-女性组别,古手川千纱,碧蓝之海,,31,,False,
07.12-07.19,恒星组提名-女性组别,伞木希美,吹响！上低音号,,30,,False,
07.12-07.19,恒星组提名-女性组别,鸢一折纸,约会大作战,,29,,False,
07.12-07.19,恒星组提名-女性组别,铠冢霙,吹响！上低音号,,28,,False,
07.12-07.19,恒星组提名-女性组别,土间埋,干物妹！小埋,,28,,False,
07.12-07.19,恒星组提名-女性组别,碧翠丝,Re:从零开始的异世界生活,,28,,False,
07.12-07.19,恒星组提名-女性组别,食蜂操祈,魔法禁书目录,,28,,False,
07.12-07.19,恒星组提名-女性组别,椎名立希,BanG Dream!,,28,,False,
07.12-07.19,恒星组提名-女性组别,楪祈,罪恶王冠,,27,,False,
07.12-07.19,恒星组提名-女性组别,桐崎千棘,伪恋,,27,,False,
07.12-07.19,恒星组提名-女性组别,七草荠,彻夜之歌,,27,,False,
07.12-07.19,恒星组提名-女性组别,玛奇玛,电锯人,,26,,False,
07.12-07.19,恒星组提名-女性组别,本间芽衣子,我们仍未知道那天所看见的花的名字。,,25,,False,
07.12-07.19,恒星组提名-女性组别,大道寺知世,魔卡少女樱,,25,,False,
07.12-07.19,恒星组提名-女性组别,冈崎汐,CLANNAD,,25,,False,
07.12-07.19,恒星组提名-女性组别,安达樱,安达与岛村,,25,,False,
07.12-07.19,恒星组提名-女性组别,䌷文德斯,Summer Pockets,,25,,False,
07.12-07.19,恒星组提名-女性组别,加藤羽未,Summer Pockets,,25,,False,
07.12-07.19,恒星组提名-女性组别,四糸乃,约会大作战,,24,,False,
07.12-07.19,恒星组提名-女性组别,惣流·明日香·兰格雷,新世纪福音战士,,24,,False,
07.12-07.19,恒星组提名-女性组别,三笠·阿克曼,进击的巨人,,24,,False,
07.12-07.19,恒星组提名-女性组别,珂朵莉·诺塔·瑟尼欧里斯,末日时在做什么？有没有空？可以来拯救吗？,,24,,False,
07.12-07.19,恒星组提名-女性组别,阿米娅,明日方舟,,24,,False,
07.12-07.19,恒星组提名-女性组别,濑名紫阳花,我们不可能成为恋人！绝对不行。 (※似乎可行？),,24,,False,
07.12-07.19,恒星组提名-女性组别,小鸟游十花,中二病也要谈恋爱！,,23,,False,
07.12-07.19,恒星组提名-女性组别,战场原黑仪,物语系列,,23,,False,
07.12-07.19,恒星组提名-女性组别,茵蒂克丝,魔法禁书目录,,23,,False,
07.12-07.19,恒星组提名-女性组别,各务原抚子,摇曳露营△,,23,,False,
07.12-07.19,恒星组提名-女性组别,千斗五十铃,甘城光辉游乐园,,22,,False,
07.12-07.19,恒星组提名-女性组别,初春饰利,魔法禁书目录,,22,,False,
07.12-07.19,恒星组提名-女性组别,空银子,龙王的工作！,,22,,False,
07.12-07.19,恒星组提名-女性组别,小糸侑,终将成为你,,22,,False,
07.12-07.19,恒星组提名-女性组别,古见硝子,古见同学有交流障碍症,,22,,False,
07.12-07.19,恒星组提名-女性组别,久保渚咲,久保同学不放过我,,22,,False,
